category,job,kind,file
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\Architectural.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Structural\2021-10-13 - 21019 Geier Residence - Review.pdf"
"01 Small Jobs","01589-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01589-01 (629 East 12th Street North Vancouver)\05 Stickfile\01589-629 E 12th (Struct Stickfile) 2022-06-23.pdf"
"01 Small Jobs","01589-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01589-01 (629 East 12th Street North Vancouver)\05 Stickfile\01589-629 E 12th (Struct Stickfile) 2022-08-08.pdf"
"01 Small Jobs","01599-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01599-01 (4851 Water Lane West Vancouver)\05 Stickfile\01 Architectural\4851 Water Lane ARCHITECTURAL SET DEC 19 2022.pdf"
"01 Small Jobs","01599-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01599-01 (4851 Water Lane West Vancouver)\05 Stickfile\01 Architectural\4851 Water Lane HOT TUB PLAN A1.pdf"
"01 Small Jobs","01599-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01599-01 (4851 Water Lane West Vancouver)\05 Stickfile\01599-01 2023-06-26 (4851 Water Lane) Struct Stickfile.pdf"
"01 Small Jobs","01603-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01603-01 (Dempsey North Culvert Headwall)\05 Stickfile\01603-Dempsey North Culvert-Struct Stickfile-2022-07-05.pdf"
"01 Small Jobs","01606-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01606-01 (1239 & 1251 Woodland Dr Vancouver)\05 Stickfile\2022-06-23 22015A 1239 Woodland Dr. ISSUED FOR BP (JZ).pdf"
"01 Small Jobs","01606-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01606-01 (1239 & 1251 Woodland Dr Vancouver)\05 Stickfile\2022-06-23 22016A 1251 Woodland Dr. ISSUED FOR BP (JZ).pdf"
"01 Small Jobs","01610-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01610-01 (Revelstoke Staff Housing)\05 Stickfile\01610-02 2025-09-10 - RMR Garbage Enclosure - BP (JM).pdf"
"01 Small Jobs","01615-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01615-01 (City Hall Plaza 4949 Canada Way Burnaby)\05 Stickfile\01 Architectural\22-017 22-09-08 City of Burnaby Memorial Plaza - Preliminary Design.pdf"
"01 Small Jobs","01622-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01622-01 (42027 Birken Rd Squamish Duplex)\05 Stickfile\01622-01-Birken Road-Issued for Building Permit-2022-09-27.pdf"
"01 Small Jobs","01622-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01622-01 (42027 Birken Rd Squamish Duplex)\05 Stickfile\01 Architectural\42072BirkenRd_Duplex_BP_Final_220804.pdf"
"01 Small Jobs","01622-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01622-01 (42027 Birken Rd Squamish Duplex)\05 Stickfile\01 Architectural\42072BirkenRd_Duplex_BP_RVSD_220907.pdf"
"01 Small Jobs","01622-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01622-01 (42027 Birken Rd Squamish Duplex)\05 Stickfile\01 Architectural\42072BirkenRd_Duplex_BP_RVSD_BUBBLED_220907.pdf"
"01 Small Jobs","01625-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01625-01 (Raft Foundation Design Silo Victoria)\05 Stickfile\01 Architectural\22-697-STORAGE BIN FOUNDATION 24X36.pdf"
"01 Small Jobs","01626-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01626-01 (1821 Princeton Review Foundations)\05 Stickfile\01626-01 - Princeton Foundations - BP and Pricing - 2022-09-26.pdf"
"01 Small Jobs","01627-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01627-01 (Gerrard Station Engineering Peer Review)\05 Stickfile\2020-10-02 - NCC - STRUC - FOUNDATION_ IFC - Addendum #1.pdf"
"01 Small Jobs","01627-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01627-01 (Gerrard Station Engineering Peer Review)\05 Stickfile\20210913 Nelson Cannabis Collective Structural IFCr0.pdf"
"01 Small Jobs","01627-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01627-01 (Gerrard Station Engineering Peer Review)\05 Stickfile\Add1_Structural Drawings Floor Infills_IFP.pdf"
"01 Small Jobs","01628-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01628-01 (Dash Mart 740 Herald St Victoria)\05 Stickfile\01628-01 - Dashmart - IFT - 2022-10-13.pdf"
"01 Small Jobs","01631-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01631-01 (8644 River Rd Delta Rel)\05 Stickfile\01631 2023-09-06 8644 River Road Delta Stickfile.pdf"
"01 Small Jobs","01632-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01632-01 (Dash Mart 20678 Duncan Way Langley)\05 Stickfile\01632-01 - Dashmart Langley - BP - 2022-10-20.pdf"
"01 Small Jobs","01632-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01632-01 (Dash Mart 20678 Duncan Way Langley)\05 Stickfile\01 Architectural\20221005_Dash Mart Van-10_619_Issued for Coordination.pdf"
"01 Small Jobs","01632-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01632-01 (Dash Mart 20678 Duncan Way Langley)\05 Stickfile\01 Architectural\Copy of 20688 Duncan Way.pdf"
"01 Small Jobs","01641-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01641-01 (1314 Powell St Vancouver)\05 Stickfile\01641-01 - 1314 Powell Street - Issued for BP - 2023-03-31 (KW).pdf"
"01 Small Jobs","01641-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01641-01 (1314 Powell St Vancouver)\05 Stickfile\01 Architectural\1314 POWELL STREET revsied kitchen.pdf"
"01 Small Jobs","01641-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01641-01 (1314 Powell St Vancouver)\05 Stickfile\01 Architectural\2303-18  POWELL STREET BP.pdf"
"01 Small Jobs","01641-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01641-01 (1314 Powell St Vancouver)\05 Stickfile\01 Architectural\Obsolete\1314 POWELL STREET PLANS.pdf"
"01 Small Jobs","01641-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01641-01 (1314 Powell St Vancouver)\05 Stickfile\01 Architectural\Obsolete\1314 Powell Street, Vancouver -Plans-.pdf"
"01 Small Jobs","01653-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01653-01 (4265 Lougheed Hwy Burnaby BC)\05 Stickfile\01 Architectural\18923-001-TPG-000-DRAFT.pdf"
