category,job,folder,structural_issues,newest_issue_date,newest_date_from_name,newest_issue,other_stick_pdfs,architectural_pdfs,model_folder,e2k,edb
"04 Commercial","40103-01","\\Kor-fs01\Projects\Projects\04 Commercial\40103-01 (11411 Bridgeview Dr, Surrey)",0,"","","",0,0,"",0,0
"04 Commercial","40106-01","\\Kor-fs01\Projects\Projects\04 Commercial\40106-01 (OpenRoad Honda, 5744 Byrne Rd, Burnaby)",1,"2022-08-23","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40106-01 (OpenRoad Honda, 5744 Byrne Rd, Burnaby)\05 Stickfile\40106-01 - Open Road Honda - Struct Stick - 2022-08-23.pdf",2,7,"",0,0
"04 Commercial","40106-05","\\Kor-fs01\Projects\Projects\04 Commercial\40106-05 (OpenRoad Honda CA Phase Services)",0,"","","",0,0,"",0,0
"04 Commercial","40107-01","\\Kor-fs01\Projects\Projects\04 Commercial\40107-01 (Bridgeport 9520 Beckwith Rd)",1,"2023-10-31","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40107-01 (Bridgeport 9520 Beckwith Rd)\05 Stickfile\40107-01 2023-10-31 BRIDGEPORT OFFICE 2 STICKFILE.pdf",1,2,"",0,0
"04 Commercial","40107-02","\\Kor-fs01\Projects\Projects\04 Commercial\40107-02 (9520 Beckwith Rd New BP Application)",1,"2023-11-08","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40107-02 (9520 Beckwith Rd New BP Application)\05 Stickfile\40107-01 2023-11-08 BRIDGEPORT OFFICE 2 STICKFILE.pdf",0,0,"\\Kor-fs01\Projects\Projects\04 Commercial\40107-02 (9520 Beckwith Rd New BP Application)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40108-04","\\Kor-fs01\Projects\Projects\04 Commercial\40108-04 (CEFA Childcare 900 Granville St)",1,"2026-05-20","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40108-04 (CEFA Childcare 900 Granville St)\05 Stickfile\40108-04 2026-05-20 CEFA Childcare 900 Granville St Stickfile.pdf",1,2,"\\Kor-fs01\Projects\Projects\04 Commercial\40108-04 (CEFA Childcare 900 Granville St)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40109-01","\\Kor-fs01\Projects\Projects\04 Commercial\40109-01 (Rocky Mtn Chocolate Factory & Cycling BC)",1,"2022-02-16","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40109-01 (Rocky Mtn Chocolate Factory & Cycling BC)\05 Stickfile\40109-RMC-CBC-Stickfile-2022-02-16.pdf",0,0,"",0,0
"04 Commercial","40110-01","\\Kor-fs01\Projects\Projects\04 Commercial\40110-01 (1150 Raymur St, Vancouver)",0,"","","",0,0,"",0,0
"04 Commercial","40111-01","\\Kor-fs01\Projects\Projects\04 Commercial\40111-01 (1150 Raymur Ave Wesgroup)",0,"","","",1,4,"",0,0
"04 Commercial","40112-01","\\Kor-fs01\Projects\Projects\04 Commercial\40112-01 (Grouse Mountain Base Structures)",1,"2024-12-02","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40112-01 (Grouse Mountain Base Structures)\05 Stickfile\40112-01 2024-12-02 - Grouse Base - Stickfile.pdf",0,24,"\\Kor-fs01\Projects\Projects\04 Commercial\40112-01 (Grouse Mountain Base Structures)\02 Engineering\02 Lateral Design\01 ETABS Models",0,7
"04 Commercial","40112-03","\\Kor-fs01\Projects\Projects\04 Commercial\40112-03 (New Gondola Structure at Top N Vancouver)",1,"2025-09-04","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40112-03 (New Gondola Structure at Top N Vancouver)\05 Stickfile\40112-03 2025-09-04 - Grouse Top - Stickfile.pdf",0,24,"\\Kor-fs01\Projects\Projects\04 Commercial\40112-03 (New Gondola Structure at Top N Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40113-01","\\Kor-fs01\Projects\Projects\04 Commercial\40113-01 (16248 – 16272 20th Avenue, Surrey B.C.)",0,"","","",1,14,"\\Kor-fs01\Projects\Projects\04 Commercial\40113-01 (16248 – 16272 20th Avenue, Surrey B.C.)\02 Engineering\02 Lateral Design\01 ETABS Models",0,6
"04 Commercial","40114-01","\\Kor-fs01\Projects\Projects\04 Commercial\40114-01 (1013-1019 Royal Ave New Westminster)",0,"","","",1,19,"\\Kor-fs01\Projects\Projects\04 Commercial\40114-01 (1013-1019 Royal Ave New Westminster)\02 Engineering\02 Lateral Design\01 ETABS Models",0,8
"04 Commercial","40115-01","\\Kor-fs01\Projects\Projects\04 Commercial\40115-01 (Maple Leaf Self Storage West Vancouver)",0,"","","",1,3,"\\Kor-fs01\Projects\Projects\04 Commercial\40115-01 (Maple Leaf Self Storage West Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,3
"04 Commercial","40116-01","\\Kor-fs01\Projects\Projects\04 Commercial\40116-01 (OpenRoad Toyota Abbotsford)",1,"2026-05-07","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40116-01 (OpenRoad Toyota Abbotsford)\05 Stickfile\40116-01 2026-05-07 - Open Road Abbotsford - Stickfile.pdf",0,15,"\\Kor-fs01\Projects\Projects\04 Commercial\40116-01 (OpenRoad Toyota Abbotsford)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40117-01","\\Kor-fs01\Projects\Projects\04 Commercial\40117-01 (6875 & 6875 153rd St Surrey)",1,"2026-08-26","yes","\\Kor-fs01\Projects\Projects\04 Commercial\40117-01 (6875 & 6875 153rd St Surrey)\05 Stickfile\40117-01 - 2026-08-26 - 6871 - 153 St - Struct. BLDG 2 Stickfile(IFC).pdf",0,31,"\\Kor-fs01\Projects\Projects\04 Commercial\40117-01 (6875 & 6875 153rd St Surrey)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","40118-01","\\Kor-fs01\Projects\Projects\04 Commercial\40118-01 (Business Park Development Surrey)",0,"","","",0,3,"\\Kor-fs01\Projects\Projects\04 Commercial\40118-01 (Business Park Development Surrey)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"04 Commercial","48123-01","\\Kor-fs01\Projects\Projects\04 Commercial\48123-01 (Test Commercial)",0,"","","",0,0,"",0,0
"05 Office","50014-06","\\Kor-fs01\Projects\Projects\05 Office\50014-06 (Echelon Centre Parking Slab Cracks)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\05 Office\50014-06 (Echelon Centre Parking Slab Cracks)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"05 Office","50026-01","\\Kor-fs01\Projects\Projects\05 Office\50026-01 (153rd St, Surrey)",2,"2022-11-03","yes","\\Kor-fs01\Projects\Projects\05 Office\50026-01 (153rd St, Surrey)\05 Stickfile\50026-01 2022-11-03 Stickfile (KW comments) COPY TO CHECK FOLDER WHEN DONE.pdf",0,9,"",0,0
"05 Office","50026-04","\\Kor-fs01\Projects\Projects\05 Office\50026-04 (153rd St Office Redesign to BCBC2018)",0,"","","",0,0,"",0,0
