run_id,run_at_utc,tool_built_at_utc,job,category,set_kind,pdf,issue_date,issue_date_from_name,bytes,pages,plan_sheets,sheets_written,sheets_failed,sheets_not_plan,assembly_cards,storeys_read,has_model,model_error,sheets_placed,storeys_built,walls,columns,floors,storeys_with_plate,seconds,error,yardstick,yardstick_storeys,shared_storeys,frame_from_grids,frame_support,ours_compared,ours_median_mm,ours_within_100,theirs_compared,theirs_within_100,yardstick_note
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30807-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30807-01 (Carnarvon Garden, 823 Carnarvon St, New Westminster)\05 Stickfile\30807-01 Structural Stickfile- 2022-05-12.pdf","2022-05-12","True","22514781","49","12","12","0","37","0","0","False","no storeys read off the elevations",,,,,,,"103.6817772",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30811-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30811-01 (32888 MacLure Road, Abbotsford)\05 Stickfile\30811 Struc Stickfile 2019-02-05.pdf","2019-02-05","True","11072446","17","5","5","0","12","0","0","False","no storeys read off the elevations",,,,,,,"112.4364143",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30816-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30816-01 (6433 Mckay Avenue & 6366 Cassie Avenue, Burnaby)\05 Stickfile\30816-01 2025-11-03 M Res Stickfile-Pink.pdf","2025-11-03","True","17598860","28","11","15","0","17","0","0","False","no storeys read off the elevations",,,,,,,"143.6727071",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30816-02","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30816-02 (M Residences Cassie & McKay Burnaby)\05 Stickfile\30816-02 2026-09-08 M Res Stickfile.pdf","2026-09-08","True","7971270","53","22","26","0","31","0","0","False","no storeys read off the elevations",,,,,,,"202.2360702",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30819-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30819-01 (7638 Cambie St, Vancouver)\05 Stickfile\30819-01 Jan4,21 Stickfile.pdf","2021-01-05","False","13887243","21","10","10","0","11","0","0","False","no storeys read off the elevations",,,,,,,"38.1469308",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30820-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30820-01 (6075 Wilson Avenue, Burnaby)\05 Stickfile\30820-01 2024-09-23 NUVO Stickfile (UP TO SSI-12)-final drawings.pdf","2024-09-23","True","66630865","46","22","32","0","24","8","55","True",,"7","55","789","299","17","10","313.9879697",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30820-02","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30820-02 (6075 Wilson Ave Rental Building)\05 Stickfile\30820-02 - 2024-06-21 - NUVO Rental Building Stickfile (up to SSI-07R).pdf","2024-06-21","True","9850303","9","4","8","0","5","0","0","False","no storeys read off the elevations",,,,,,,"133.6444993",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30823-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30823-01 (Olive Court, Burnaby)\05 Stickfile\30823-01 2026-07-28 Olive Court Stickfile.pdf","2026-07-28","True","13303384","97","17","17","0","80","0","45","False","Cannot build a model from these inputs: No layer in this drawing set matched walls, yet 79,530 segments sit on layers the tool does not recognise. That is a layer-naming mismatch, not a building without them. Candidates: BEAM (79,220 segments), GRID (302 segments), FOOTING (8 segments). Set the layer patterns for this job.",,,,,,,"164.7247526",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30824-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30824-01 (1200-1259 Emery Pl, North Vancouver)\05 Stickfile\30824 - Emery ABC - Stickfile - 2022-11-23.pdf","2022-11-23","True","29218344","57","31","31","0","26","0","0","False","no storeys read off the elevations",,,,,,,"223.3349146",,,,,,,,,,,,
"dd0d7a94-6079-4a31-b127-f1bf4111ebfd","2026-09-12T02:27:03.4065605Z","2026-09-11T23:45:21.5677905Z","30825-01","03 Residential","structural","\\Kor-fs01\Projects\Projects\03 Residential\30825-01 (173 & 177 West 6th St, North Vancouver)\05 Stickfile\30825 Struct Stickfile 2021-05-06.pdf","2021-05-06","True","10571279","25","11","11","0","14","0","0","False","no storeys read off the elevations",,,,,,,"52.0972917",,,,,,,,,,,,
