Id,Kind,DisplayName,StoredFuzzy,ExpectedFuzzy
"66380","Architect","Building Science + Architecture Ltd.","buildingsciencearchitecture","buildingscienceandarchitecture"
"68756","Architect","ACI Architecture Inc. (& Stephens Kozak ACI)","aciarchitectureincstephenskozakaci","aciarchitectureincandstephenskozakaci"
"68818","Architect","Saucier + Perrotte Architectes","saucierperrottearchitectes","saucierandperrottearchitectes"
"68883","Architect","EHDD + Payette","ehddpayette","ehddandpayette"
"68889","Architect","SOM + Mithun","sommithun","somandmithun"
"68897","Architect","TKA+D Architecture + Design Inc.","tkadarchitecturedesign","tkadarchitectureanddesign"
"68898","Architect","TKA+D + RDHA","tkadrdha","tkadandrdha"
"68917","Architect","Local Practice Architecture + Design","localpracticearchitecturedesign","localpracticearchitectureanddesign"
"68976","Architect","Berry Architecture + Associates","berryarchitectureassociates","berryarchitectureandassociates"
"69095","Architect","Formline Architecture + Urbanism","formlinearchitectureurbanism","formlinearchitectureandurbanism"
"69122","Architect","Proscenium Architecture + Interiors","prosceniumarchitectureinteriors","prosceniumarchitectureandinteriors"
"69243","Architect","Bjarke Ingels Group (BIG) + DIALOG","bjarkeingelsgroupbigdialog","bjarkeingelsgroupbiganddialog"
"69249","Architect","Busby + Associates Architects","busbyassociatesarchitects","busbyandassociatesarchitects"
"69348","Architect","Studio 9 Architecture + Planning","studio9architectureplanning","studio9architectureandplanning"
"69540","Subcontractor","van der Zalm + Associates","vanderzalmassociates","vanderzalmandassociates"
"69688","Architect","Perkins&Will","perkinswill","perkinsandwill"
"69758","Architect","Leckie Studio Architecture + Design","leckiestudioarchitecturedesign","leckiestudioarchitectureanddesign"
"69775","Architect","Human Studio Architecture + Urban Design","humanstudioarchitectureurbandesign","humanstudioarchitectureandurbandesign"
"70109","Architect","Norman Foster (Foster + Partners)","normanfosterfosterpartners","normanfosterfosterandpartners"
"70110","Architect","HED + Moore Ruble Yudell","hedmoorerubleyudell","hedandmoorerubleyudell"
"70623","Architect","Sebastien Garon Architecture + Design Inc.","sebastiengaronarchitecturedesign","sebastiengaronarchitectureanddesign"
"70824","Architect","Lake Monster Studio Architecture + Design","lakemonsterstudioarchitecturedesign","lakemonsterstudioarchitectureanddesign"
"71201","Buyer","K&H Developments","khdevelopments","kandhdevelopments"
"71528","Competitor","MCW Group of Companies","mcw","mcwgroupofcompanies"
