Domain,Tier,Members,Orgs
"hacla.org","U1","2","68656 Housing Authority of the City of Los Angeles | 68945 Housing Authority, City of Los Angeles"
"multco.us","U1","2","73733 Multnomah County | 75530 Multnomah County (OR)"
"crd.ca","U1","2","323 Capital Regional District | 77397 Capital Regional District (CRD)"
"sd69.bc.ca","U1","2","39070 f-BLOK architecture inc | 70311 SD69 Qualicum School District"
"sd79.bc.ca","U1","2","39076 Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs | 69003 SD79 Cowichan Valley School District"
"ceo.lacounty.gov","U1","2","68840 County of Los Angeles | 77501 Los Angeles County Public Works (Capital Programs)"
"capitalprograms.ucla.edu","U1","2","77450 University of California, Los Angeles (UCLA) | 77459 UCLA Health"
"adventisthealth.org","U1","3","77491 Adventist Health (California) | 77555 Adventist Health Lodi Memorial (Central Valley, CA) | 77566 Adventist Health White Memorial (Los Angeles)"
"onesanfrancisco.org","U1","3","77493 San Francisco International Airport (SFO) | 77505 City of San Francisco — Office of Resilience and Capital Planning | 77736 City of San Francisco (Concrete Building Safety Program)"
"rcmp.ca","U1","3","18893 Royal Canadian Mounted Police (RCMP) | 53749 RCMP | 77903 RCMP E Division — BC Provincial Headquarters"
"sd28.bc.ca","U1","2","39055 University of Western Ontario, King's University College | 75751 SD28 Quesnel School District"
"scienceworld.ca","U1","2","69265 Science World | 77856 Science World (BC Science and Technology Society)"
"fvrd.ca","U1","2","70323 Fraser Valley Regional District (FVRD) | 77409 Fraser Valley Regional District"
"bart.gov","U1","2","77497 Bay Area Rapid Transit (BART) | 77563 San Francisco Bay Area Rapid Transit District (BART) — Eastridge Extension"
"esquimalt.ca","U1","3","55125 Corporation of the Township of Esquimalt | 55549 Esquimalt (Township) | 69224 Township of Esquimalt"
"cmsd.bc.ca","U1","2","68726 The Seattle Public Library | 77425 School District 82 Coast Mountains"
"haidanation.ca","U1","2","68738 Canadian Transportation Agency | Office des transports du Canada | 77429 Council of the Haida Nation"
"lausd.org","U1","2","68948 LAUSD | 77470 Los Angeles Unified School District (LAUSD)"
"nisgaanation.ca","U1","2","69386 Nisga'a Lisims Government | 77427 Nisga'a Nation"
"quesnel.ca","U1","2","69502 City of Quesnel | 77905 City of Quesnel — RCMP Detachment Expansion"
"cbsa-asfc.gc.ca","U1","2","18824 Canada Border Services Agency (CBSA) | 77911 Canada Border Services Agency — Land Border Crossing Project (BC)"
"unbc.ca","U1","2","18915 University of Northern BC | 53787 University of Northern British Columbia"
"scusd.edu","U1","2","76862 Sacramento City Unified School District | 77474 Sacramento City Unified School District (SCUSD)"
"mpsd.ca","U1","2","77424 School District 75 Mission | 77777 Mission Public Schools (SD75)"
"prrd.bc.ca","U1","2","18906 the Rolla Sewer Treatment Facility (Peace River Regional District) | 69050 Peace River Regional District"
"alliancefrancaise.ca","U1","2","69319 Alliance Française de Vancouver | 69437 L'Alliance Française de Vancouver"
"vanartgallery.bc.ca","U1","2","70100 Vancouver Art Gallery | 77844 Vancouver Art Gallery Foundation"
"tda.tsuutina.com","U1","2","73946 Tsuut'ina Nation | 77869 Tsuut'ina Development Authority"
"christchurchcathedral.bc.ca","U1","2","77829 Christ Church Cathedral / Anglican Diocese of BC | 77843 Anglican Diocese of British Columbia — Christ Church Cathedral Precinct"
"estruxture.com","U1","2","77873 eStruxture Data Centers — VAN-1 / VAN-2 / VAN-3 (Vancouver/Burnaby) | 77874 eStruxture Data Centers — CAL-3 (Rocky View County, AB)"
