Id,Kind,OldName,NewName
4277,Vendor,"Can-Traffic Services Ltd. Weighted Evaluation","Can-Traffic Services Ltd"
4457,Vendor,"Castle Rock Contrating Ltd. Weighted Evaluation","Castle Rock Contrating Ltd"
4583,Vendor,"Central Alberta women's outreach society Successful Proponent","Central Alberta women's outreach society"
4645,Vendor,"Cervus Equipment Contract Awarded","Cervus Equipment"
4673,Vendor,"CGI Information Systems and Management Consultants Inc. Awarded","CGI Information Systems and Management Consultants Inc"
4676,Vendor,"CH2M HILL Canada Limited (CH2M) 1st evaluated vendor- Awarded","CH2M HILL Canada Limited (CH2M) 1st evaluated vendor"
4678,Vendor,"CH2M HILL Canada Limited Weighted Evaluation","CH2M HILL Canada Limited"
4687,Vendor,"Challenger Geomatics Ltd. Challenger Geomatics Ltd. is the successful Proponent following the evaluation by the Partnership.","Challenger Geomatics Ltd. Challenger Geomatics Ltd"
4709,Vendor,"Chandos Construction Ltd Successful Prequalified Respondent","Chandos Construction Ltd"
4841,Vendor,"Chuck Electrical Services Inc. Weighted Evaluation","Chuck Electrical Services Inc"
4854,Vendor,"CIMA Canada Inc. (CIMA+) Bid Received","CIMA Canada Inc. (CIMA+)"
4913,Vendor,"CKB Construction (2004) Ltd Successful Proponent","CKB Construction (2004) Ltd"
4916,Vendor,"CKB Construction (2004) Ltd. Weighted Evaluation","CKB Construction (2004) Ltd"
4943,Vendor,"Classic Landscapes Limited Weighted Evaluation","Classic Landscapes Limited"
4963,Vendor,"Clean Harbors Canada Inc. Bid received/not reviewed for compliancy","Clean Harbors Canada Inc"
4978,Vendor,"ClearSky Engineering Inc. contract awarded to highest scoring bidder.","ClearSky Engineering Inc"
5063,Vendor,"Cochrane Freight Services Inc. Weighted evaluation","Cochrane Freight Services Inc"
5068,Vendor,"Codework Inc 1 bid received","Codework Inc 1"
5481,Vendor,"cowan graphics Awarded","cowan graphics"
5501,Vendor,"CPI Construction Ltd. Weighted Evaluation","CPI Construction Ltd"
5610,Vendor,"CT & Associates Engineering Inc. (Geotechnical, Environmental and Material Testing Services) Weighted Evaluation","CT & Associates Engineering Inc. (Geotechnical, Environmental and Material Testing Services)"
5690,Vendor,"Cutting Edge Landscaping Ltd Weighted evaluation","Cutting Edge Landscaping Ltd"
5705,Vendor,"Cybertech Automation Weighted Evaluation","Cybertech Automation"
5767,Vendor,"DAKOTA Reclamators Ltd Weighted Evaluation","DAKOTA Reclamators Ltd"
5834,Vendor,"David Hewko Planning + Program Management Successful Proponent","David Hewko Planning + Program Management"
5913,Vendor,"DDB Canada Successful Proponent","DDB Canada"
5966,Vendor,"Deford Contracting Inc. Contract Awarded","Deford Contracting Inc"
5967,Vendor,"Deford Contracting Inc. Weighted Evaluation","Deford Contracting Inc"
5996,Vendor,"Dell Canada Inc. 2016RSS0053 ACAN awarded","Dell Canada Inc. 2016RSS0053 ACAN"
6007,Vendor,"Delnor Construction Ltd Successfully Pre-Qualified","Delnor Construction Ltd"
6009,Vendor,"Delnor Construction Ltd. The short listed firms for this RFQ were invited to submit a proposal in response to the Invitational RFP. Invitational RFPs are not posted on APC so the RFP award information can be found under this RFQ.","Delnor Construction Ltd"
6010,Vendor,"Delnor Construction Ltd. The short listed firms for this RFQ were invited to submit a proposal in response to the Invitational RFP. Invitational RFPs are not posted on APC. The award information can be found under this RFQ.","Delnor Construction Ltd"
6011,Vendor,"Delnor Construction Ltd. The short listed firms for this RFQ were invited to submit a proposal in response to the Invitational RFP. Invitational RFPs are not posted on APC. The RFP award information can be found under this RFQ.","Delnor Construction Ltd"
6013,Vendor,"Delnor Cosntruction Awarded","Delnor Cosntruction"
6020,Vendor,"Deloitte Inc. Contract Awarded to Deloitte Inc","Deloitte Inc"
6083,Vendor,"Derrick Fencing & Port-A-Potty Bid has not been checked for compliance","Derrick Fencing & Port-A-Potty"
6143,Vendor,"DGS Construction Ltd. Awarded","DGS Construction Ltd"
6233,Vendor,"Dillon Consulting Limited bids have not been reviewed for compliancy or calculation errors”","Dillon Consulting Limited"
6264,Vendor,"Distribution Elite Canada Inc. Received - not reviewed for compliancy","Distribution Elite Canada Inc"
6282,Vendor,"DLA Piper (Canada) LLP Contract awarded to highest scoring bidder","DLA Piper (Canada) LLP"
6348,Vendor,"DONOVAN Creative Communications Bid has not been reviewed for compliance","DONOVAN Creative Communications"
6445,Vendor,"Dub Architects Ltd. and Hughes Condon Marler: Architects Successful Proponent","Dub Architects Ltd. and Hughes Condon Marler: Architects"
6446,Vendor,"Dub Architects Successful Proponent","Dub Architects"
6495,Vendor,"Dynamex Canada Corp (Dynamex) Awarded","Dynamex Canada Corp (Dynamex)"
6598,Vendor,"EBA Engineering Consultants Ltd. (EBA, A Tetra Tech Company) weighted evaluation","EBA Engineering Consultants Ltd. (EBA, A Tetra Tech Company)"
6603,Vendor,"EBA Engineering Consultants Ltd. Successful Proponent","EBA Engineering Consultants Ltd"
6666,Vendor,"Eco-Technia Inc. Weighted Evaluation","Eco-Technia Inc"
6667,Vendor,"ECO-Technica Inc. Weighted Evaluation","ECO-Technica Inc"
6680,Vendor,"EDA Collaborative Inc. Weighted Evaluation","EDA Collaborative Inc"
6894,Vendor,"EMCO Corporation - Waterworks All submissions have been analysed and the responses evaluated based on a number of weighted factors according to the needs and judgement of the City of Airdrie. The successful proponent is Emco Waterworks.","EMCO Corporation - Waterworks All submissions have been analysed and the responses evaluated based on a number of weighted factors according to the needs and judgement of the City of Airdrie. The"
