FamilyKey,Action,LoserId,LoserName,LoserKind,LoserWeight,LoserEnrich,SurvivorId,SurvivorName,SurvivorKind,SurvivorWeight,Confidence,Evidence
"cei architecture architect for expanded revived phases not publicly confirmed",RETIRE_JV,69948,"CEI Architecture (original phase); architect for expanded/revived phases not publicly confirmed",Architect,16,2,,,,,Review,"slash-joined JV row; linkWeight=16; project artifact, retire not merge"
"parkin architects ltd kasian",RETIRE_JV,71476,"Parkin Architects Ltd. / Kasian Architecture",Architect,16,3,,,,,Review,"slash-joined JV row; linkWeight=16; project artifact, retire not merge"
"venerable dharma master heng jung c o master jin shu hean chiang khim chan",RETIRE_JV,204,"Venerable Dharma Master Heng Jung c/o Master Jin Shu / Hean Chiang / Khim Chan",KorClient,16,3,,,,,Review,"slash-joined JV row; linkWeight=16; project artifact, retire not merge"
"chernoff thompson architects jcta",RETIRE_JV,69773,"Chernoff Thompson Architects (CTA) / JCTA",Architect,15,4,,,,,Review,"slash-joined JV row; linkWeight=15; project artifact, retire not merge"
"katherine gordon nexus",RETIRE_JV,25136,"Katherine Gordon / Nexus Construction",GC,14,0,,,,,Review,"slash-joined JV row; linkWeight=14; project artifact, retire not merge"
"gorf manufacturing",RETIRE_JV,41930,"Gorf Manufacturing/Contracting Ltd.",GC,14,1,,,,,Review,"slash-joined JV row; linkWeight=14; project artifact, retire not merge"
"tbp architecture",RETIRE_JV,74056,"tBP/Architecture",Architect,14,1,,,,,Review,"slash-joined JV row; linkWeight=14; project artifact, retire not merge"
"bosa properties kingswood",RETIRE_JV,54232,"Bosa Properties/Kingswood Properties",Developer,13,1,,,,,Review,"slash-joined JV row; linkWeight=13; project artifact, retire not merge"
"bc children s hospital foundation phsa",RETIRE_JV,72196,"BC Children's Hospital Foundation / PHSA",Buyer,12,1,,,,,Review,"slash-joined JV row; linkWeight=12; project artifact, retire not merge"
"architect designer",RETIRE_JV,28302,"Architect/Designer",Architect,12,0,,,,,Review,"slash-joined JV row; linkWeight=12; project artifact, retire not merge"
"mst development corporation canada lands",RETIRE_JV,55012,"MST Development Corporation + Canada Lands Company",Developer,12,1,,,,,Review,"slash-joined JV row; linkWeight=12; project artifact, retire not merge"
"diamond schmitt david nairne",RETIRE_JV,71485,"Diamond Schmitt / David Nairne + Associates",Architect,12,3,,,,,Review,"slash-joined JV row; linkWeight=12; project artifact, retire not merge"
"calgary sports entertainment corp city of calgary cmlc",RETIRE_JV,68785,"Calgary Sports & Entertainment Corp / City of Calgary / CMLC",Buyer,11,2,,,,,Review,"slash-joined JV row; linkWeight=11; project artifact, retire not merge"
"government of alberta ahs",RETIRE_JV,72049,"Government of Alberta (Alberta Infrastructure) / AHS",Buyer,11,0,,,,,Review,"slash-joined JV row; linkWeight=11; project artifact, retire not merge"
"new empire design build",RETIRE_JV,47416,"NEW EMPIRE DESIGN/BUILD CONTRACTORS LTD",GC,11,0,,,,,Review,"slash-joined JV row; linkWeight=11; project artifact, retire not merge"
